timestamp,frame_id,num_points,point_data
2026-02-13T17:07:35.681,11,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
2026-02-13T17:07:35.862,21,8,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
2026-02-13T17:07:36.041,22,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}, {'x': 3.7834253311157227, 'y': 7.129634380340576, 'z': 0.0, 'v': 0.0, 'range': np.float64(8.071306810762584)}]"
2026-02-13T17:07:36.230,23,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
2026-02-13T17:07:36.401,24,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}, {'x': 3.5884594917297363, 'y': 7.375563621520996, 'z': 0.0, 'v': 0.0, 'range': np.float64(8.202193624810935)}]"
2026-02-13T17:07:36.579,31,10,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.439849615097046, 'y': 1.6046006679534912, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.795696072933143)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}, {'x': 3.5884594917297363, 'y': 7.375563621520996, 'z': 0.0, 'v': 0.0, 'range': np.float64(8.202193624810935)}]"
2026-02-13T17:07:36.794,32,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
2026-02-13T17:07:36.969,33,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
2026-02-13T17:07:37.156,34,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.337594747543335, 'y': 4.905803203582764, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.9335018135256155)}]"
2026-02-13T17:07:37.334,35,9,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
2026-02-13T17:07:37.520,38,11,"[{'x': -0.2576819360256195, 'y': 0.16391974687576294, 'z': 0.0, 'v': 0.0, 'range': np.float64(0.305400824441791)}, {'x': -1.0198205709457397, 'y': 1.0772041082382202, 'z': 0.0, 'v': 0.0, 'range': np.float64(1.4833754372138543)}, {'x': -0.973465085029602, 'y': 2.0008177757263184, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.225063154931586)}, {'x': -0.7635020613670349, 'y': 2.320845365524292, 'z': 0.0, 'v': 0.0, 'range': np.float64(2.4432066241698216)}, {'x': -2.189614772796631, 'y': 2.3128204345703125, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.1848942236462503)}, {'x': 3.3212339878082275, 'y': 1.8375836610794067, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.79569610391013)}, {'x': 3.1548995971679688, 'y': 2.263611316680908, 'z': 0.0, 'v': 0.0, 'range': np.float64(3.8829534714204965)}, {'x': -1.398844838142395, 'y': 4.7729058265686035, 'z': 0.0, 'v': 0.0, 'range': np.float64(4.9736703660868145)}, {'x': -1.154796838760376, 'y': 5.151216983795166, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071144903308)}, {'x': -2.969477653503418, 'y': 4.364721775054932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.279071292215596)}, {'x': 3.5230166912078857, 'y': 4.774389743804932, 'z': 0.0, 'v': 0.0, 'range': np.float64(5.933501835533472)}]"
