frame,timestamp,idx,x,y,z,velocity,range
287,1770809652.2458894,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
287,1770809652.2458894,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
287,1770809652.2458894,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
287,1770809652.2458894,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
287,1770809652.2458894,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
287,1770809652.2458894,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
287,1770809652.2458894,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
287,1770809652.2458894,7,3.2885124683380127,4.8336591720581055,0.0,0.0,5.84624454210017
287,1770809652.2458894,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
287,1770809652.2458894,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
287,1770809652.2458894,10,0.8384888768196106,5.300416946411133,0.0,-0.36519771814346313,5.3663286707350055
287,1770809652.2458894,11,0.34357592463493347,5.486467361450195,0.0,-0.36519771814346313,5.497214615079805
287,1770809652.2458894,12,4.499208450317383,4.752371311187744,0.0,-0.2434651404619217,6.544303611447719
287,1770809652.2458894,13,1.4315663576126099,6.385806560516357,0.0,-0.2434651404619217,6.54430345144401
287,1770809652.2458894,14,4.351961612701416,5.0038018226623535,0.0,-0.2434651404619217,6.631561095164984
1,1770809652.577067,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
1,1770809652.577067,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
1,1770809652.577067,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
1,1770809652.577067,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
1,1770809652.577067,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
1,1770809652.577067,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
1,1770809652.577067,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
1,1770809652.577067,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
1,1770809652.577067,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
1,1770809652.577067,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
1,1770809652.577067,10,0.6435231566429138,5.10780668258667,0.0,-0.7303954362869263,5.148185229749674
1,1770809652.577067,11,0.8248549103736877,5.214231491088867,0.0,-0.7303954362869263,5.2790714776208905
1,1770809652.577067,12,4.237436294555664,4.872122287750244,0.0,-0.36519771814346313,6.45704591413212
2,1770809652.6448727,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
2,1770809652.6448727,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
2,1770809652.6448727,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
2,1770809652.6448727,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
2,1770809652.6448727,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
2,1770809652.6448727,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
2,1770809652.6448727,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
2,1770809652.6448727,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
2,1770809652.6448727,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
2,1770809652.6448727,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
2,1770809652.6448727,10,0.6380695700645447,5.064520359039307,0.0,-0.8521279692649841,5.104556713698652
2,1770809652.6448727,11,0.6326159834861755,5.021233558654785,0.0,-0.7303954362869263,5.060927724550429
2,1770809652.6448727,12,0.3244883716106415,5.181663513183594,0.0,-0.7303954362869263,5.191813697270797
3,1770809652.7542038,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
3,1770809652.7542038,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
3,1770809652.7542038,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
3,1770809652.7542038,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
3,1770809652.7542038,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
3,1770809652.7542038,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
3,1770809652.7542038,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
3,1770809652.7542038,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
3,1770809652.7542038,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
3,1770809652.7542038,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
3,1770809652.7542038,10,-1.6497098207473755,5.014683723449707,0.0,-0.8521279692649841,5.279071446656292
3,1770809652.7542038,11,0.3299419581890106,5.2687506675720215,0.0,-0.8521279692649841,5.279071442291174
4,1770809652.839265,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
4,1770809652.839265,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
