frame_num,timestamp,point_index,x_m,y_m,z_m,velocity_mps,range_m
247,1770809622.596469,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
247,1770809622.596469,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
247,1770809622.596469,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
247,1770809622.596469,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
247,1770809622.596469,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
247,1770809622.596469,5,-1.7342402935028076,4.28715705871582,0.0,0.0,4.624641071662274
247,1770809622.596469,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
247,1770809622.596469,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
247,1770809622.596469,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
247,1770809622.596469,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
1,1770809622.6305497,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
1,1770809622.6305497,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
1,1770809622.6305497,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
1,1770809622.6305497,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
1,1770809622.6305497,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
1,1770809622.6305497,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
1,1770809622.6305497,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
1,1770809622.6305497,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
1,1770809622.6305497,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
1,1770809622.6305497,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
2,1770809622.7354274,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
2,1770809622.7354274,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
2,1770809622.7354274,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
2,1770809622.7354274,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
2,1770809622.7354274,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
2,1770809622.7354274,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
2,1770809622.7354274,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
2,1770809622.7354274,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
2,1770809622.7354274,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
2,1770809622.7354274,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
3,1770809622.8358634,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
3,1770809622.8358634,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
3,1770809622.8358634,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
3,1770809622.8358634,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
3,1770809622.8358634,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
3,1770809622.8358634,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
3,1770809622.8358634,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
3,1770809622.8358634,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
3,1770809622.8358634,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
3,1770809622.8358634,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
3,1770809622.8358634,10,-1.7465109825134277,2.0081043243408203,0.0,-0.36519771814346313,2.661349956220775
3,1770809622.8358634,11,-2.5781829357147217,0.6601186990737915,0.0,-0.36519771814346313,2.6613500233673615
4,1770809622.930676,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
4,1770809622.930676,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
4,1770809622.930676,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
4,1770809622.930676,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
4,1770809622.930676,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
4,1770809622.930676,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
4,1770809622.930676,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
4,1770809622.930676,7,3.471207618713379,4.7041778564453125,0.0,0.0,5.846244233461704
4,1770809622.930676,8,3.3607723712921143,5.359618186950684,0.0,0.0,6.326159817893708
4,1770809622.930676,9,3.762974262237549,7.0910964012146,0.0,0.0,8.027678585343391
5,1770809623.031,0,0.2863132655620575,0.10627498477697372,0.0,0.0,0.305400816020775
5,1770809623.031,1,-0.3953849971294403,0.1844368875026703,0.0,0.0,0.436286902653197
5,1770809623.031,2,-1.1288923025131226,1.0920116901397705,0.0,0.0,1.570632790334933
5,1770809623.031,3,-1.1561602354049683,2.002528190612793,0.0,0.0,2.31232040256765
5,1770809623.031,4,-1.259778380393982,3.441480875015259,0.0,0.0,3.664809978812527
5,1770809623.031,5,-1.589720368385315,4.34282112121582,0.0,0.0,4.624641190464118
5,1770809623.031,6,-1.4111154079437256,4.8147735595703125,0.0,0.0,5.017299186262821
